# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Sep 24 14:02:02 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
pl_name,hostname,pl_letter,default_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_lum,ra,dec,sy_dist,sy_vmag
TOI-1347 c,TOI-1347,c,1,1,2,4.84196200,,1.600,6.40000,0.000000,1000,5464.00,0.83,0.91,-0.260,280.3266806,70.2900536,147.4760000,11.1680000
TOI-1386 b,TOI-1386,b,1,1,2,25.84010000,0.173000,6.216,45.80000,0.000000,615,5735.00,1.02,1.04,0.010,334.5041029,54.3190454,146.8580000,10.6100000
TOI-1386 c,TOI-1386,c,1,1,2,232.00000000,0.750000,,75.20000,0.380000,,5735.00,1.02,1.04,0.010,334.5041029,54.3190454,146.8580000,10.6100000
TOI-139 b,TOI-139,b,1,1,1,11.07085000,,2.457,,,561,4570.00,0.70,0.69,,336.4024144,-34.9097131,42.4061000,10.5500000
TOI-1408 b,TOI-1408,b,1,1,2,4.42587000,0.057780,25.000,593.00000,0.002300,,6117.00,1.53,1.31,0.471,313.5110469,72.5806455,139.4840000,9.2700010
TOI-1408 c,TOI-1408,c,1,1,2,2.16640000,0.035870,2.220,7.60000,0.135300,,6117.00,1.53,1.31,0.471,313.5110469,72.5806455,139.4840000,9.2700010
TOI-1410 c,TOI-1410,c,1,1,2,47.56000000,0.239000,,27.00000,0.000000,,4635.00,0.76,0.79,-0.622,334.8828486,42.5603141,72.7512000,11.1110000
TOI-1410.01,TOI-1410,b,1,1,2,1.21687000,0.020700,3.101,12.50000,0.000000,1237,4635.00,0.76,0.79,-0.622,334.8828486,42.5603141,72.7512000,11.1110000
TOI-1411 b,TOI-1411,b,1,1,1,1.45205270,0.021220,1.199,2.00000,0.000000,976,4115.00,0.61,0.60,-1.013,232.9460470,47.0555507,32.4778000,10.5100000
TOI-1416 b,TOI-1416,b,1,1,1,1.06975680,0.019000,1.620,3.48000,0.000000,1517,4884.00,0.79,0.80,,216.9234892,41.9529862,55.0135000,9.9100000
TOI-1420 b,TOI-1420,b,1,1,1,6.95610630,0.071000,11.890,25.10000,0.170000,957,5510.00,0.92,0.99,-0.152,322.9418092,66.3490054,201.9180000,11.6550000
TOI-1422 b,TOI-1422,b,1,1,1,12.99720000,0.108000,3.960,9.00000,0.040000,867,5840.00,1.02,0.98,0.048,354.2408290,39.6392793,155.1410000,10.6220000
TOI-1431 b,TOI-1431,b,1,1,1,2.65023700,0.046000,16.701,991.62463,0.002200,2370,7690.00,1.92,1.90,1.068,316.2036922,55.5880221,148.9250000,8.0300000
TOI-1437 b,TOI-1437,b,1,1,1,18.84094200,0.140000,2.240,9.60000,0.170000,,6008.00,1.17,1.10,0.285,256.1387513,56.8425490,103.2970000,9.1730000
TOI-1439 b,TOI-1439,b,1,1,1,27.64400000,0.192000,4.243,38.50000,0.157000,748,5841.00,1.62,1.23,0.441,241.7639371,67.8776404,230.3060000,10.5500000
TOI-1442 b,TOI-1442,b,1,1,1,0.40906770,0.007100,1.170,,,1072,3330.00,0.31,0.29,,287.2921006,74.1742762,41.1659000,15.3900000
TOI-1443 b,TOI-1443,b,1,1,1,23.54067800,0.147000,2.304,30.00000,0.000000,521,5224.00,0.75,0.77,-0.420,297.3986780,76.1391776,85.8034000,10.6750000
TOI-1444 b,TOI-1444,b,1,1,1,0.47027430,0.011600,1.418,3.58000,0.000000,2130,5460.00,0.91,0.95,-0.176,305.4749252,70.9437054,125.4630000,10.9360000
TOI-1448 b,TOI-1448,b,1,1,1,8.11224500,0.056700,2.749,19.50000,0.360000,426,3412.00,0.38,0.37,-1.755,316.3240030,57.7710946,73.3345000,15.6780000
TOI-1450 A b,TOI-1450 A,b,1,2,2,2.04392740,,1.130,1.25800,,722,3437.00,0.48,0.48,,286.8540627,59.0866254,22.4467000,12.2800000
TOI-1450 A c,TOI-1450 A,c,1,2,2,5.06880000,,,1.52700,,533,3437.00,0.48,0.48,,286.8540627,59.0866254,22.4467000,12.2800000
TOI-1451 b,TOI-1451,b,1,1,1,16.53794400,0.127000,2.611,15.20000,0.000000,723,5801.00,1.02,1.00,0.024,186.5242821,61.2589289,91.9362000,9.5840000
TOI-1452 b,TOI-1452,b,1,2,1,11.06201000,0.061000,1.672,4.82000,0.000000,326,3185.00,0.28,0.25,-2.155,290.1739741,73.1951082,30.5212000,14.3540000
TOI-1467 b,TOI-1467,b,1,1,1,5.97199000,0.049500,1.676,9.00000,0.000000,506,3776.00,0.46,0.45,-1.420,19.1146441,49.2331382,37.4418000,12.2930000
TOI-1468 b,TOI-1468,b,1,1,2,1.88051360,,1.280,3.21000,,682,3496.00,0.34,0.34,-1.797,16.6538724,19.2249195,24.7399000,12.5000000
TOI-1468 c,TOI-1468,c,1,1,2,15.53248200,,2.064,6.64000,,338,3496.00,0.34,0.34,-1.797,16.6538724,19.2249195,24.7399000,12.5000000
TOI-1470 b,TOI-1470,b,1,1,2,2.52709300,0.028500,2.180,7.32000,0.300000,734,3709.00,0.47,0.47,-1.425,10.0891431,61.2133868,51.9503000,13.4590000
TOI-1470 c,TOI-1470,c,1,1,2,18.08816000,0.106000,2.470,7.24000,0.500000,373,3709.00,0.47,0.47,-1.425,10.0891431,61.2133868,51.9503000,13.4590000
TOI-1472 b,TOI-1472,b,1,1,1,6.36381000,0.065000,4.160,16.50000,0.000000,811,5133.00,0.84,0.92,-0.356,14.1142611,48.6375168,121.8400000,11.3020000
TOI-1478 b,TOI-1478,b,1,1,1,10.18024900,0.090300,11.882,270.47333,0.024000,918,5597.00,1.05,0.95,-0.013,126.4337428,-13.5595485,152.8920000,10.7230000
TOI-150.01,TOI-150,b,1,1,1,5.85748700,0.070370,14.067,797.75330,0.262000,1404,6255.00,1.53,1.35,0.497,112.9654210,-73.6060358,336.2670000,11.3900000
TOI-1516 b,TOI-1516,b,1,1,1,2.05601400,,15.244,1004.33777,,,6520.00,1.14,1.14,,340.0846204,69.5037313,247.0540000,10.8580000
TOI-1518 b,TOI-1518,b,1,1,1,1.90260300,0.038900,21.017,731.00534,0.010000,2492,7300.00,1.95,1.79,,352.2675207,67.0348062,225.8880000,8.9520000
TOI-157 b,TOI-157,b,1,1,1,2.08454350,0.031380,14.415,375.03940,0.000000,1588,5404.00,1.17,0.95,0.020,73.7014398,-76.6806061,355.6830000,12.7250000
TOI-1601 b,TOI-1601,b,1,1,1,5.33175000,0.069000,14.199,387.00000,0.000000,1494,5982.00,2.19,1.51,0.748,38.3615690,41.0134321,336.6080000,10.6600000
TOI-163 b,TOI-163,b,1,1,1,4.23130600,0.058000,16.690,387.75260,0.000000,1669,6495.00,1.65,1.44,0.636,79.7682532,-71.8955269,411.7190000,11.4670000
TOI-1634 b,TOI-1634,b,1,2,2,0.98934550,,1.773,7.57000,0.000000,,3472.00,0.45,0.45,-1.578,56.3906096,37.1122803,35.2736000,13.2170000
TOI-1634 c,TOI-1634,c,1,2,2,103.00000000,,,,0.000000,,3472.00,0.45,0.45,-1.578,56.3906096,37.1122803,35.2736000,13.2170000
TOI-1669 b,TOI-1669,b,1,1,2,500.00000000,1.270000,,191.00000,0.000000,,5497.00,1.06,0.99,-0.036,45.9564744,83.5874273,111.2760000,10.2180000
TOI-1669 c,TOI-1669,c,1,1,2,2.68005350,0.037600,2.296,13.00000,0.000000,1285,5497.00,1.06,0.99,-0.036,45.9564744,83.5874273,111.2760000,10.2180000
TOI-1670 b,TOI-1670,b,1,1,2,10.98462000,0.103000,2.060,41.31769,0.590000,1062,6170.00,1.32,1.21,,259.0172522,72.1611806,168.0670000,9.8890000
TOI-1670 c,TOI-1670,c,1,1,2,40.74976000,0.249000,11.063,200.23190,0.090000,684,6170.00,1.32,1.21,,259.0172522,72.1611806,168.0670000,9.8890000
TOI-1680 b,TOI-1680,b,1,1,1,4.80263450,0.031440,1.466,,,404,3225.00,0.21,0.18,-2.363,292.3139790,65.9738018,37.2209000,15.8700000
TOI-1683.01,TOI-1683,b,1,1,1,3.05753560,0.036508,2.638,,,929,4402.00,0.70,0.69,,65.9796504,27.8223701,51.1884000,10.9700000
TOI-1685 b,TOI-1685,b,1,1,1,0.66913924,0.011380,1.468,3.03000,0.000000,1062,3575.00,0.46,0.45,-1.515,68.5939529,43.0370395,37.6153000,13.3780000
TOI-169 b,TOI-169,b,1,1,1,2.25544770,0.035240,12.173,251.40353,0.000000,1715,5880.00,1.29,1.15,0.253,16.7786879,-75.1989452,407.8400000,12.3550000
TOI-1691 b,TOI-1691,b,1,1,1,16.73690000,0.126000,3.565,14.60000,0.000000,703,5642.00,1.01,0.96,-0.031,272.4041179,86.8603430,111.4450000,10.1340000
TOI-1693 b,TOI-1693,b,1,1,1,1.76669570,0.022600,1.410,,,764,3499.00,0.46,0.49,,90.3083455,34.7730904,30.7947000,12.9620000
TOI-1694 b,TOI-1694,b,1,1,2,3.77010700,0.045000,5.342,31.30000,0.000000,943,5058.00,0.80,0.85,-0.418,97.7487104,66.3605956,124.6800000,11.4460000
TOI-1694 c,TOI-1694,c,1,1,2,393.10000000,0.100000,,297.00000,0.000000,,5058.00,0.80,0.85,-0.418,97.7487104,66.3605956,124.6800000,11.4460000
TOI-1695 b,TOI-1695,b,1,1,1,3.13427910,0.033548,1.900,6.36000,0.097000,698,3690.00,0.52,0.51,-1.354,21.9217346,72.2966148,45.1309000,12.9890000
TOI-1696 b,TOI-1696,b,1,1,1,2.50031100,0.022900,3.090,48.80000,,489,3185.00,0.28,0.26,-2.148,65.2806480,48.8198312,64.9172000,16.8200000
TOI-1710 b,TOI-1710,b,1,2,1,24.28337700,0.166000,5.203,22.40000,0.000000,603,5684.00,0.96,1.03,-0.063,94.2838373,76.2110200,81.2271000,9.5450000
TOI-172 b,TOI-172,b,1,1,1,9.47725000,0.091400,10.817,1722.63860,0.380600,1198,5645.00,1.78,1.13,0.461,316.6318791,-26.6928654,342.8310000,11.2990000
TOI-1723 b,TOI-1723,b,1,1,1,13.72641000,0.114000,3.292,10.40000,0.000000,783,5743.00,1.09,1.04,0.064,116.7971978,68.4766845,100.7270000,9.6640000
TOI-1728 b,TOI-1728,b,1,1,1,3.49151000,0.039100,5.050,26.78000,0.057000,767,3980.00,0.62,0.65,-1.056,120.6116787,64.7971531,60.7980000,12.3900000
TOI-1736 b,TOI-1736,b,1,1,2,7.07307600,0.073000,3.182,12.30000,0.000000,1100,5636.00,1.43,1.04,0.271,43.4344615,69.1013450,88.9482000,8.9530000
TOI-1736 c,TOI-1736,c,1,1,2,571.25000000,1.370000,,2441.00000,0.368500,,5636.00,1.43,1.04,0.271,43.4344615,69.1013450,88.9482000,8.9530000
TOI-1739 b,TOI-1739,b,1,1,1,8.30334200,0.074200,1.695,,,756,4922.00,0.75,0.79,-0.524,240.1724810,83.2586589,70.9819000,10.6920000
TOI-1742 b,TOI-1742,b,1,1,1,21.26908400,0.154000,2.365,9.70000,0.300000,694,5815.00,1.13,1.09,0.121,257.3288678,71.8766724,72.8871000,8.8630000
TOI-1749 b,TOI-1749,b,1,1,3,2.38839000,0.029100,1.390,57.00000,0.140000,831,3985.00,0.55,0.58,,282.7372281,64.4194660,99.5561000,13.8600000
TOI-1749 c,TOI-1749,c,1,1,3,4.49290000,0.044300,2.120,14.00000,0.019000,673,3985.00,0.55,0.58,,282.7372281,64.4194660,99.5561000,13.8600000
TOI-1749 d,TOI-1749,d,1,1,3,9.04970000,0.070700,2.520,15.00000,0.062000,533,3985.00,0.55,0.58,,282.7372281,64.4194660,99.5561000,13.8600000
TOI-1751 b,TOI-1751,b,1,1,1,37.46852000,0.215000,2.951,19.50000,0.327000,652,5970.00,1.31,0.94,0.297,243.4888534,63.5335297,113.3350000,9.3270000
TOI-1753 b,TOI-1753,b,1,1,1,5.38461040,0.059000,2.479,16.60000,0.000000,1005,5621.00,0.97,0.95,-0.070,252.4698351,61.1735768,226.6710000,11.8310000
TOI-1758 b,TOI-1758,b,1,1,1,20.70512700,0.138000,3.557,6.90000,0.000000,551,5151.00,0.82,0.83,-0.373,354.7415810,75.6852317,96.6215000,10.7940000
TOI-1759 b,TOI-1759,b,1,1,1,18.85019000,0.117700,3.140,10.80000,0.000000,443,4065.00,0.60,0.61,-1.057,326.8516615,62.7538164,40.0654000,11.9300000
TOI-1775 b,TOI-1775,b,1,1,1,10.24055490,0.080000,8.047,96.00000,0.000000,708,5284.00,0.83,0.92,-0.316,150.1151015,39.4577506,149.2340000,11.6480000
TOI-1776 b,TOI-1776,b,1,1,1,2.79986800,0.037800,1.216,1.40000,0.000000,1269,5785.00,0.94,0.92,-0.053,164.7772913,40.9837182,44.6470000,8.2600000
TOI-178 b,TOI-178,b,1,1,6,1.91455800,0.026070,1.152,1.50000,,1040,4316.00,0.65,0.65,-0.879,7.3020115,-30.4541159,62.6990000,11.9550000
TOI-178 c,TOI-178,c,1,1,6,3.23845000,0.037000,1.669,4.77000,,873,4316.00,0.65,0.65,-0.879,7.3020115,-30.4541159,62.6990000,11.9550000
TOI-178 d,TOI-178,d,1,1,6,6.55770000,0.059200,2.572,3.01000,,690,4316.00,0.65,0.65,-0.879,7.3020115,-30.4541159,62.6990000,11.9550000
TOI-178 e,TOI-178,e,1,1,6,9.96188100,0.078300,2.207,3.86000,,600,4316.00,0.65,0.65,-0.879,7.3020115,-30.4541159,62.6990000,11.9550000
TOI-178 f,TOI-178,f,1,1,6,15.23191500,0.103900,2.287,7.72000,,521,4316.00,0.65,0.65,-0.879,7.3020115,-30.4541159,62.6990000,11.9550000
TOI-178 g,TOI-178,g,1,1,6,20.70950000,0.127500,2.870,3.94000,,470,4316.00,0.65,0.65,-0.879,7.3020115,-30.4541159,62.6990000,11.9550000
TOI-1789 b,TOI-1789,b,1,1,1,3.20866400,0.048820,16.141,222.47988,,1927,5991.00,2.17,1.51,0.736,142.7434060,26.5399951,229.0670000,9.7210000
TOI-1794 b,TOI-1794,b,1,1,1,8.76552800,0.082000,3.297,8.70000,0.000000,993,5631.00,1.32,0.97,0.197,203.3974857,49.0608433,155.7910000,10.3200000
TOI-1798.01,TOI-1798,b,1,1,2,8.02154000,0.074000,2.385,6.50000,0.000000,734,5106.00,0.79,0.85,-0.416,211.0939367,46.5192825,113.1810000,11.3610000
TOI-1798.02,TOI-1798,c,1,1,2,0.43781460,0.010700,1.399,5.60000,0.000000,1936,5106.00,0.79,0.85,-0.416,211.0939367,46.5192825,113.1810000,11.3610000
TOI-1799 b,TOI-1799,b,1,1,1,7.08573800,0.071000,1.422,4.00000,0.000000,923,5698.00,0.95,0.94,-0.062,167.2329152,34.3030149,62.1274000,8.9800000
TOI-1801 b,TOI-1801,b,1,2,1,10.64387000,,2.079,5.73800,0.000000,494,3863.00,0.55,0.56,-1.230,175.5755995,23.0270335,30.6796000,11.5800000
TOI-1806.01,TOI-1806,b,1,1,1,15.14546930,0.087735,3.410,,,337,3272.00,0.40,0.39,,166.1181474,30.4585763,55.5211000,15.1930000
TOI-1807 b,TOI-1807,b,1,1,1,0.54937097,0.012200,1.497,2.44000,0.000000,1694,4914.00,0.75,0.80,-0.533,201.2826259,38.9223671,42.5775000,10.0000000
TOI-181 b,TOI-181,b,1,1,1,4.53200000,0.053900,6.956,46.16870,0.154300,895,4994.00,0.74,0.82,-0.526,352.1725409,-34.4914099,96.2338000,11.1910000
TOI-1811 b,TOI-1811,b,1,1,1,3.71307650,0.043890,11.142,308.92921,0.052000,962,4766.00,0.77,0.82,-0.560,188.9223576,27.2143766,128.2300000,11.9660000
TOI-1820 b,TOI-1820,b,1,1,1,4.86067400,0.061000,12.778,731.00534,0.043000,1375,5734.00,1.51,1.04,,187.6867207,27.4520016,248.5040000,10.8990000
TOI-1823 b,TOI-1823,b,1,1,1,38.80000000,0.212000,7.541,67.40000,0.000000,424,4927.00,0.80,0.84,-0.461,196.2197201,63.7532610,71.6456000,10.7280000
TOI-1824 b,TOI-1824,b,1,1,1,22.80853300,0.151000,2.744,16.00000,0.000000,529,5165.00,0.81,0.88,-0.373,197.7312286,61.7448492,59.4314000,9.7210000
TOI-1836 b,TOI-1836,b,1,1,2,20.38084500,0.157000,8.281,24.70000,0.000000,890,6237.00,1.65,1.25,0.570,245.9079242,54.6900774,191.6490000,9.7650000
TOI-1836 c,TOI-1836,c,1,1,2,1.77274710,0.030890,2.600,8.00000,0.000000,2008,6237.00,1.65,1.25,0.570,245.9079242,54.6900774,191.6490000,9.7650000
TOI-1842 b,TOI-1842,b,1,1,1,9.57391810,0.100000,12.349,89.40000,0.276000,1200,6039.00,2.03,1.46,0.695,201.9626552,9.0306437,223.4650000,9.8150000
TOI-1853 b,TOI-1853,b,1,1,1,1.24362580,0.021300,3.460,73.20000,0.030000,1479,4985.00,0.81,0.84,-0.432,211.4593468,16.9923703,165.1050000,12.1780000
TOI-1855 b,TOI-1855,b,1,1,1,1.36414864,0.023980,18.495,360.09959,0.033000,1701,5359.00,1.04,0.99,-0.095,205.3539534,17.6868719,176.8330000,11.1970000
TOI-1859 b,TOI-1859,b,1,1,1,63.48347000,0.337000,9.752,,0.570000,,6341.00,1.36,1.29,,279.8317644,69.5228726,224.3850000,10.3300000
TOI-1860 b,TOI-1860,b,1,1,1,1.06621070,0.020400,1.310,,,1885,5752.00,0.94,0.99,,226.4567308,64.0476821,45.8640000,8.4000000
TOI-1898 b,TOI-1898,b,1,1,1,45.52234000,0.269000,9.396,129.00000,0.485000,675,6241.00,1.61,1.25,0.551,144.5553000,23.5467464,79.6682000,7.8700000
TOI-1899 b,TOI-1899,b,1,1,1,29.09031200,0.152500,11.097,212.94503,0.044000,378,3926.00,0.61,0.63,,299.4268472,40.1433462,128.4380000,14.8800000
TOI-1937 A b,TOI-1937 A,b,1,2,1,0.94667944,0.019320,13.978,638.83510,0.000000,2097,5814.00,1.08,1.07,0.080,116.3707214,-52.3832587,415.1350000,13.1800000
TOI-198 b,TOI-198,b,1,1,1,10.21520000,0.100000,1.440,,,368,3650.00,0.44,0.47,,2.2715087,-27.1217452,23.7262000,11.6880000
TOI-199 b,TOI-199,b,1,1,2,104.85400000,0.425400,9.079,54.03083,0.090000,,5255.00,0.82,0.94,-0.338,80.1058735,-59.8954326,102.2700000,10.7010000
TOI-199 c,TOI-199,c,1,1,2,273.69000000,0.807000,,88.99195,0.096000,,5255.00,0.82,0.94,-0.338,80.1058735,-59.8954326,102.2700000,10.7010000
TOI-1994 b,TOI-1994,b,1,1,1,4.03371420,0.061300,13.675,7024.00779,0.341000,2290,7700.00,2.30,1.86,1.223,147.1745753,-51.7565640,515.6030000,10.5140000
TOI-2000 b,TOI-2000,b,1,1,2,3.09833000,0.042710,2.700,11.00000,0.000000,1488,5611.00,1.13,1.08,0.060,146.3970631,-66.6866307,175.7130000,10.9840000
TOI-2000 c,TOI-2000,c,1,1,2,9.12705500,0.087800,8.140,81.70000,0.063000,1038,5611.00,1.13,1.08,0.060,146.3970631,-66.6866307,175.7130000,10.9840000
TOI-201 b,TOI-201,b,1,1,1,52.97818000,0.300000,11.299,133.48860,0.280000,759,6394.00,1.32,1.32,0.415,87.4017825,-54.9104230,113.8250000,9.0700000
TOI-2010 b,TOI-2010,b,1,1,1,141.83402500,0.551600,11.814,408.72733,0.212000,400,5929.00,1.08,1.11,0.114,292.1669417,53.4873694,109.1900000,9.8490000
TOI-2015 b,TOI-2015,b,1,1,1,3.34896800,0.030100,3.390,16.40000,0.000000,512,3194.00,0.33,0.34,-1.979,232.1326528,27.3610730,47.3444000,16.1100000
TOI-2018 b,TOI-2018,b,1,1,1,7.43558300,,2.268,9.20000,0.000000,,4174.00,0.62,0.57,-1.000,229.8374423,29.2078771,27.9956000,10.2500000
TOI-2019 b,TOI-2019,b,1,1,1,15.34440000,0.128000,5.333,34.40000,0.000000,917,5626.00,1.75,1.18,0.441,234.4317651,48.9552060,198.0070000,10.2630000
TOI-2025 b,TOI-2025,b,1,1,1,8.87209820,0.089200,11.893,1144.18227,0.394000,1166,5977.00,1.46,1.20,0.387,282.7952558,82.2454143,335.9850000,11.5990000
TOI-2046 b,TOI-2046,b,1,1,1,1.49718420,,16.141,731.00534,,,6250.00,1.21,1.13,,16.1849423,74.3313055,289.6680000,11.5520000
TOI-2048 b,TOI-2048,b,1,1,1,13.79019000,,2.610,,0.130000,,5185.00,0.79,0.83,-0.387,237.9241066,52.3063083,116.5670000,11.4310000
TOI-206 b,TOI-206,b,1,1,1,0.73631040,0.011200,1.300,,,910,3383.00,0.35,0.35,,73.7382202,-62.5218740,47.7465000,14.9380000
TOI-2068 b,TOI-2068,b,1,1,1,7.76891500,0.063200,1.821,,,521,3710.00,0.54,0.56,-1.311,186.2735600,60.4183455,52.9328000,13.0070000
TOI-2076 b,TOI-2076,b,1,1,3,10.35509600,0.088000,2.771,16.10000,0.000000,688,5192.00,0.80,0.86,-0.378,217.3920159,39.7903991,41.9091000,9.1390000
TOI-2076 c,TOI-2076,c,1,1,3,21.01532700,0.142000,3.694,55.00000,0.000000,543,5192.00,0.80,0.86,-0.378,217.3920159,39.7903991,41.9091000,9.1390000
TOI-2076 d,TOI-2076,d,1,1,3,35.12568600,0.199000,3.431,29.00000,0.000000,458,5192.00,0.80,0.86,-0.378,217.3920159,39.7903991,41.9091000,9.1390000
TOI-2081 b,TOI-2081,b,1,1,1,10.50534000,0.075200,2.040,,,488,3800.00,0.53,0.54,-1.338,264.3022634,53.0255666,62.3446000,13.3690000
TOI-2084 b,TOI-2084,b,1,2,1,6.07842470,0.050060,2.470,,,527,3551.00,0.47,0.45,-1.492,259.2545389,72.7470231,114.5490000,15.1150000
TOI-2088 b,TOI-2088,b,1,1,1,124.72997000,0.472000,3.683,37.00000,0.000000,300,5081.00,0.85,0.90,-0.362,261.3748943,75.8822796,126.4600000,11.6380000
TOI-2095 b,TOI-2095,b,1,1,2,17.66484000,0.101000,1.250,4.10000,0.000000,347,3759.00,0.44,0.44,-1.459,285.6365235,75.4185135,41.9176000,13.1900000
TOI-2095 c,TOI-2095,c,1,1,2,28.17232000,0.137000,1.330,7.40000,0.000000,297,3759.00,0.44,0.44,-1.459,285.6365235,75.4185135,41.9176000,13.1900000
TOI-2096 b,TOI-2096,b,1,1,2,3.11906330,0.025000,1.243,,0.150000,445,3300.00,0.23,0.23,-2.228,151.6186989,74.8272107,48.4809000,15.9200000
TOI-2096 c,TOI-2096,c,1,1,2,6.38784000,0.040000,1.914,,0.100000,349,3300.00,0.23,0.23,-2.228,151.6186989,74.8272107,48.4809000,15.9200000
TOI-2107 b,TOI-2107,b,1,1,1,2.45454670,0.035150,13.574,263.79758,0.033000,1397,5627.00,0.93,0.96,-0.105,286.7965405,-58.6968348,236.7050000,12.0363000
TOI-2109 b,TOI-2109,b,1,1,1,0.67247414,0.017910,15.098,1595.49860,,3646,6540.00,1.70,1.45,0.673,253.1862971,16.5799153,262.0410000,10.2170000
TOI-2120 b,TOI-2120,b,1,1,1,5.79981640,0.037700,2.122,6.80000,0.320000,384,3131.00,0.24,0.21,-2.287,23.5073150,65.5139877,32.1755000,15.6480000
TOI-2128 b,TOI-2128,b,1,1,1,16.34136000,0.127000,2.089,4.50000,0.000000,781,5968.00,1.12,1.03,0.156,256.9817998,32.1053027,36.5780000,7.2214200
TOI-2134 b,TOI-2134,b,1,1,2,9.22920050,0.078000,2.690,9.13000,0.060000,666,4580.00,0.71,0.74,-0.717,271.9355015,39.0729269,22.6202000,8.9330000
TOI-2134 c,TOI-2134,c,1,1,2,95.50000000,0.371000,7.270,41.89000,0.670000,306,4580.00,0.71,0.74,-0.717,271.9355015,39.0729269,22.6202000,8.9330000
TOI-2136 b,TOI-2136,b,1,1,1,7.85192800,0.057000,2.190,6.37000,0.000000,395,3342.00,0.34,0.34,-1.886,281.1763433,36.5631318,33.3631000,14.3200000
TOI-2141 b,TOI-2141,b,1,1,1,18.26157000,0.133000,3.050,24.00000,0.210000,722,5659.00,0.98,0.94,-0.050,258.7623456,18.3403449,77.6820000,9.4600000
TOI-2145 b,TOI-2145,b,1,1,1,10.26112700,0.111000,12.419,1767.00000,0.210000,1363,6200.00,2.75,1.72,1.007,263.7580753,40.6950428,224.7310000,9.0700000
TOI-2152 A b,TOI-2152,b,1,3,1,3.37735120,0.050640,14.359,899.45439,0.057000,1802,6630.00,1.61,1.52,0.653,26.3389717,77.7901231,303.0060000,11.4360000
TOI-2154 b,TOI-2154,b,1,1,1,3.82408010,0.051300,16.287,292.40213,0.117000,1580,6280.00,1.40,1.23,0.435,71.0281482,84.3642652,296.4600000,11.0680000
TOI-2158 b,TOI-2158,b,1,1,1,8.60077000,0.075000,10.761,260.61929,0.070000,1188,5673.00,1.41,1.12,,276.8100527,20.5268868,198.4730000,10.8870000
TOI-216.01,TOI-216,c,1,1,2,34.52552800,,10.100,177.98391,0.004600,,,0.75,0.77,,73.9800129,-63.2603301,177.9450000,12.3240000
TOI-216.02,TOI-216,b,1,1,2,17.16073000,,8.000,18.75188,0.160000,,,0.75,0.77,,73.9800129,-63.2603301,177.9450000,12.3240000
TOI-2180 b,TOI-2180,b,1,1,1,260.79000000,0.828000,11.321,875.61726,0.368300,348,5695.00,1.64,1.11,0.406,277.9436300,56.6506789,116.6850000,9.1620000
TOI-2184 b,TOI-2184,b,1,1,1,6.90683000,,11.400,206.58846,0.080000,,5966.00,2.90,1.53,,100.8331246,-66.9476563,788.3170000,12.2540000
TOI-2193 A b,TOI-2193 A,b,1,2,1,2.12257350,0.033190,19.840,298.75870,0.000000,1763,5966.00,1.25,1.08,0.250,313.6912320,-72.8046404,337.0640000,11.9760000
TOI-2194 b,TOI-2194,b,1,1,1,15.33759700,,1.989,,,591,4756.00,0.69,0.74,,299.1563393,-31.3351812,19.5711000,8.4200000
TOI-2196 b,TOI-2196,b,1,1,1,1.19472680,0.022340,3.510,26.00000,0.000000,1860,5634.00,1.04,1.03,-0.004,312.3400744,-70.4850723,259.9470000,12.2970000
TOI-220 b,TOI-220,b,1,1,1,10.69526400,0.089110,3.030,13.80000,0.032000,805,5298.00,0.86,0.82,,91.7996988,-61.9972098,90.7402000,10.4660000
TOI-2202 b,TOI-2202,b,1,1,2,11.91010000,0.095640,11.321,310.83618,0.042000,,5144.00,0.79,0.82,-0.401,51.2284214,-73.9575458,235.9330000,13.0040000
TOI-2202 c,TOI-2202,c,1,1,2,24.67440000,0.155440,,117.27868,0.062200,,5144.00,0.79,0.82,-0.401,51.2284214,-73.9575458,235.9330000,13.0040000
TOI-2207 b,TOI-2207,b,1,1,1,8.00196800,0.085400,11.153,203.41018,0.174000,1259,6101.00,1.56,1.30,0.484,307.5966925,-44.8876181,373.3450000,11.3160000
